idx,email,sendStatus,sendBody,code,registerStatus,registerBody,success,error,timeMs,ts
1,mtlx1mptmb@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",646024,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE0OTksImV4cCI6MTc2NjAxNTQ5OSwibmJmIjoxNzYwODMxNDk5LCJqdGkiOiJIdGszcFdENHd3NkhwZkxjIiwic3ViIjoxMjMyNzYsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiRXdGNzZ6In0.22zDwsMFo_YAvRjpN6UCov3XaHfZSse5OBYZUALa8jc"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtlx1mptmb@tiffincrane.com"",""account_type"":2,""email"":""mtlx1mptmb@tiffincrane.com"",""email_status"":1,""username"":""mtlx1mptmb@tiffincrane.com"",""reg_ip"":""141.101.68.207"",""invite_code"":""75663695"",""last_login_time"":""2025-10-19 07:51:39"",""last_login_ip"":""141.101.68.207"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:51:39"",""created_at"":""2025-10-19 07:51:39"",""user_id"":123276,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",11515,2025-10-18T23:51:26.938Z
2,mt4vwxdn9y@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",779826,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1MDMsImV4cCI6MTc2NjAxNTUwMywibmJmIjoxNzYwODMxNTAzLCJqdGkiOiJHV2lwOGZEVW1tTElBdGVVIiwic3ViIjoxMjMyNzcsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiVFNodnphIn0.aCpkHg4-yKSXzpsfCPov2AZCn1gkHXkrv5j9OO1m91s"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt4vwxdn9y@tiffincrane.com"",""account_type"":2,""email"":""mt4vwxdn9y@tiffincrane.com"",""email_status"":1,""username"":""mt4vwxdn9y@tiffincrane.com"",""reg_ip"":""141.101.68.207"",""invite_code"":""92988818"",""last_login_time"":""2025-10-19 07:51:43"",""last_login_ip"":""141.101.68.207"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:51:43"",""created_at"":""2025-10-19 07:51:43"",""user_id"":123277,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",10034,2025-10-18T23:51:31.947Z
3,mt5njon67a@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",389122,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1MDcsImV4cCI6MTc2NjAxNTUwNywibmJmIjoxNzYwODMxNTA3LCJqdGkiOiJocXZHUEFLY0dwR00xQzRjIiwic3ViIjoxMjMyNzgsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiZXk0UXM4In0.7gtyugrodp98iiikFBFwE06LLMhiDtHyZoerQxyGne4"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt5njon67a@tiffincrane.com"",""account_type"":2,""email"":""mt5njon67a@tiffincrane.com"",""email_status"":1,""username"":""mt5njon67a@tiffincrane.com"",""reg_ip"":""172.71.122.248"",""invite_code"":""09426470"",""last_login_time"":""2025-10-19 07:51:47"",""last_login_ip"":""172.71.122.248"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:51:47"",""created_at"":""2025-10-19 07:51:47"",""user_id"":123278,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9064,2025-10-18T23:51:36.943Z
4,mt8ph99je2@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",239,2025-10-18T23:51:41.933Z
5,mtryg4inve@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",178,2025-10-18T23:51:46.933Z
6,mtxqn1afnh@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",680,2025-10-18T23:51:51.939Z
7,mtpp3pz31h@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",698,2025-10-18T23:51:56.935Z
8,mtcn89tmhh@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",939960,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1MzQsImV4cCI6MTc2NjAxNTUzNCwibmJmIjoxNzYwODMxNTM0LCJqdGkiOiJucnU5UUo0VjVUTk40bjVEIiwic3ViIjoxMjMyNzksInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoieWNrd3VVIn0.Dj6YyzskIBdyhCU4CjopIphWqDsA8hUPI8Ha9aMAwHw"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtcn89tmhh@tiffincrane.com"",""account_type"":2,""email"":""mtcn89tmhh@tiffincrane.com"",""email_status"":1,""username"":""mtcn89tmhh@tiffincrane.com"",""reg_ip"":""172.71.118.210"",""invite_code"":""96815018"",""last_login_time"":""2025-10-19 07:52:13"",""last_login_ip"":""172.71.118.210"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:52:13"",""created_at"":""2025-10-19 07:52:13"",""user_id"":123279,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",10988,2025-10-18T23:52:01.935Z
9,mt4xetac17@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",439893,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1MzgsImV4cCI6MTc2NjAxNTUzOCwibmJmIjoxNzYwODMxNTM4LCJqdGkiOiJEbmxBVzg5UjUySVp4NWNYIiwic3ViIjoxMjMyODAsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiM0ZOM1dnIn0.jpl3JoQ32_RCRrohdPH_uIPX2mFiqS-KhNibxWFnf4s"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt4xetac17@tiffincrane.com"",""account_type"":2,""email"":""mt4xetac17@tiffincrane.com"",""email_status"":1,""username"":""mt4xetac17@tiffincrane.com"",""reg_ip"":""104.23.229.108"",""invite_code"":""63076008"",""last_login_time"":""2025-10-19 07:52:18"",""last_login_ip"":""104.23.229.108"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:52:18"",""created_at"":""2025-10-19 07:52:18"",""user_id"":123280,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",10724,2025-10-18T23:52:06.945Z
10,mt4k3sy5gq@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",242,2025-10-18T23:52:11.933Z
